Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,8.9163680E+02,8.9602839E+01
False,CS-137,True,1.000,1.9420696E+02,1.2470167E+01
False,TL-208,True,0.725,3.0132869E+01,4.5419501E+00
False,PB-210,False,1.000,1.2244027E+03,6.4477976E+01
False,BI-212,False,1.000,9.7239918E+01,3.2091345E+01
True,PB-212,False,0.943,,
False,PB-214,True,1.000,1.6237481E+02,6.0870382E+00
False,RA-226,False,0.990,5.1225805E+02,1.4061281E+02
False,AC-228,True,0.799,8.4867419E+01,8.4649613E+00
False,PA-228,True,0.994,1.1805287E+01,3.5214943E+00
False,TH-228,True,0.943,7.6558736E+01,4.7053598E+00
False,PA-231,True,1.000,2.6629968E+01,2.6950671E+01
False,TH-234,True,0.552,9.8492016E+02,4.0143764E+01
False,U-235,True,0.999,3.3639391E+01,7.1278883E+00
