Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.16,0.00477843,11.87,,
m,2.0,19.24,0.00237088,20.67,,
,5.0,36.38,0.00101081,86.24,,
m,15.0,98.38,0.0023336,17.98,D-Esc.,
m,18.0,112.77,0.00170394,24.01,Sum,
,33.0,387.22,0.000462819,78.73,D-Esc.,
,34.0,415.12,0.000286444,119.82,Sum,
,36.0,533.64,0.000280755,96.22,Sum,
m,38.0,587.39,0.000294091,56.91,,
,49.0,1001.17,0.00172966,26.88,Sum,
,53.0,1318.27,0.000196318,94.28,Sum,
,58.0,1527.18,0.000145879,71.57,,
,59.0,1543.11,0.000424483,42.04,Sum,
,65.0,2017.53,0.00023132,45.88,Sum,
,67.0,2203.6,0.000599954,44.22,Sum,
,68.0,2446.69,0.000225233,62.22,Sum,
